date;Nb(#);Duration;Amplitude;Magnitude;E(J);Longitude;Latitude;Depth;Type;File;LocMode;LocType;Projection;Operator;Timestamp;ID
20180905 095326.40;1;2.28;Faible;-0.373741136;17353.5485837245;-61.66393115;16.04307363;-0.76953125;VOLCTECT;2018/09/05/ovsg2018rmeatu;manual;earthquake;WGS84;VR;20180905T095326.40;2018-09#147
20180905 101301.38;2;3.18;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/05/ovsg2018rmerqo;manual;earthquake;WGS84;ABU;20180905T101301.38;2018-09#148
20180905 110700.18;1;1.8;Faible;;;-61.66168;16.0427;;VOLCTECT;2018/09/05/ovsg2018rmgmea;manual;earthquake;WGS84;VR;20180905T110700.18;2018-09#149
20180905 111346.74;1;1.92;Faible;-0.3699211316;17584.0254074836;-61.6660848;16.04390676;-0.41796875;VOLCTECT;2018/09/05/ovsg2018rmgrzq;manual;earthquake;WGS84;VR;20180905T111346.74;2018-09#150
20180905 114141.82;1;3.12;Faible;-0.1802295054;33857.5666371884;-61.66393115;16.04432334;-0.53515625;VOLCTECT;2018/09/05/ovsg2018rmhqbc;manual;earthquake;WGS84;VR;20180905T114141.82;2018-09#151
20180905 200308.70;1;2.58;Faible;-0.2496230729;26641.912072744;-61.66393115;16.0434902;-0.76953125;VOLCTECT;2018/09/05/ovsg2018rmygdz;manual;earthquake;WGS84;VR;20180905T200308.70;2018-09#162
20180905 205010.38;1;2.22;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/05/ovsg2018rmzurt;manual;earthquake;WGS84;VR;20180905T205010.38;2018-09#164
20180906 042203.96;1;2.64;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/06/ovsg2018rnoucc;manual;earthquake;WGS84;JP;20180906T042203.96;2018-09#169
20180906 042340.50;1;2.28;Faible;;;-61.66168;16.0427;;VOLCTECT;2018/09/06/ovsg2018rnovmi;manual;earthquake;WGS84;JP;20180906T042340.50;2018-09#170
20180906 140031.56;1;1.74;Faible;-0.006245130183;61749.337820412;-61.66393115;16.0434902;-0.65234375;VOLCTECT;2018/09/06/ovsg2018rohyon;manual;earthquake;WGS84;ABU;20180906T140031.56;2018-09#175
20180906 143819.32;1;1.74;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/06/ovsg2018rojfdk;manual;earthquake;WGS84;ABU;20180906T143819.32;2018-09#176
20180906 145023.76;1;1.68;Faible;0.2203408265;135055.178033217;-61.66177748;16.04557305;-0.41796875;VOLCTECT;2018/09/06/ovsg2018rojpnt;manual;earthquake;WGS84;ABU;20180906T145023.76;2018-09#177
20180906 145956.04;1;2.16;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/06/ovsg2018rojxts;manual;earthquake;WGS84;ABU;20180906T145956.04;2018-09#178
20180906 155354.48;1;1.8;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/06/ovsg2018rolsgv;manual;earthquake;WGS84;ABU;20180906T155354.48;2018-09#180
20180906 163809.06;1;3;Faible;;;-61.7043;16.0088;3;VOLCTECT;2018/09/06/ovsg2018ronejn;manual;not locatable;WGS84;ABU;20180906T163809.06;2018-09#183
20180906 171627.90;1;2.16;Faible;-0.1737541055;34623.3305309711;-61.66436188;16.04307363;-0.76953125;VOLCTECT;2018/09/06/ovsg2018roolkj;manual;earthquake;WGS84;ABU;20180906T171627.90;2018-09#184
20180906 172751.54;1;2.52;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/06/ovsg2018roovfu;manual;earthquake;WGS84;ABU;20180906T172751.54;2018-09#185
20180906 173630.36;1;1.5;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/06/ovsg2018ropcro;manual;earthquake;WGS84;ABU;20180906T173630.36;2018-09#186
20180906 204041.22;1;3.36;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/06/ovsg2018rovfke;manual;earthquake;WGS84;VR;20180906T204041.22;2018-09#189
20180906 205134.80;1;2.88;Faible;;;-61.6354;15.855;;VOLCTECT;2018/09/06/ovsg2018rovotz;automatic;;WGS84;VR;20180906T205134.80;2018-09#190
20180906 220942.36;1;2.94;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/06/ovsg2018royeco;manual;earthquake;WGS84;VR;20180906T220942.36;2018-09#192
20180907 052332.76;1;2.7;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/07/ovsg2018rpmnym;manual;earthquake;WGS84;VR;20180907T052332.76;2018-09#198
20180907 064050.64;1;2.46;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/07/ovsg2018rppcok;manual;earthquake;WGS84;VR;20180907T064050.64;2018-09#199
20180907 100315.96;1;2.64;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/07/ovsg2018rpvuzm;manual;earthquake;WGS84;VR;20180907T100315.96;2018-09#200
20180907 105313.68;1;1.86;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/07/ovsg2018rpxmaz;manual;earthquake;WGS84;VR;20180907T105313.68;2018-09#201
20180907 174121.18;2;2.94;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/07/ovsg2018rqkztm;manual;earthquake;WGS84;ABU;20180907T174121.18;2018-09#206
